Id,Text,sentiment
1660482122224930817,"---Pertandingan Final Sea Gemes 2023 Cambodia sepakbola Indonesia 5 Vs Thailand 2, mengalahkan RATING pertandingan Piala Dunia U20 Argentina ---",
1660481035522699264,https://t.co/vTz81GBg8l,
1660480390518415361,"@Argentina @Socceroos Piala Dunia u20 batal di Indonesia, pindah ke Argentina. Sebagai bentuk 'terima kasih', meloloskan Argentina u20, Indonesia jadi boleh lah tanding lawan tim seniornya. Ntaps.

Tiket berapaan nih?",
1660476957191184384,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660476766346162176,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660476744506421252,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660476610355810305,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660475751605616640,RT @gilabola_ina: Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slo…,
1660475335148986368,"Mungkin alasan Argentina mau bertanding menghadapi Indonesia adalah sebagai tanda Terima kasih kepada Indonesia untuk slot gratisnya di Piala Dunia U20 2023 ?

Argentina yang tadinya tidak lolos kualifikasi jadi bisa bermain karena dapat slot sebagai tuan rumah. https://t.co/M6LejdTlYl",
1660475238680006662,"Seandainya pertandingan Piala Dunia U20 ini jadi digelar di Indonesia. Tentu akan ada banyak keuntungan bagi kita. Bkn hanya bagi sepakbola & ekonomi sja tp juga cara pandang kita mengenai dunia. 

Tadi malam Italia U20 vs Brazil U20, pertandingan yg seru dg skor 3-2 utk Italia. https://t.co/dWsqhaISvq",
1660475030088855552,"Alhamdulillah Indonesia vs Argentina sudah resmi, tapi khawatir seperti Piala Dunia U20 yang sudah resmi, fix malah batal karena sekelompok orang politik.
#Indonesiavsargentina",
1660472914360287234,"@theaseanball Balas budi karena Indonesia dah rela melepas jatah jadi host Piala Dunia U20 ke mereka. 

Kalau ga mana mau Argentina ketemu tim peringkat 149. Ga level?",
1660470102331121664,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660469040895385600,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660466506147430401,"@kurawa @erickthohir CC : Ndoro Ganjar @ganjarpranowo 
Sekalian up date piala dunia u20 hari ini...
Cukup membayangkan laga ini digelar di Indonesia https://t.co/HxMwIhrg4W",
1660462734604132352,"https://t.co/wlQYFRa00s bertempat di stadion si jalak harupat bandung laga pertama Israel berhasil di kalahkan Kolombia dalam laga perdana grup C, edisi piala dunia U20 kali ini bertempat di Indonesia sebagai tuan rumah...
@Lembayung071 nyetadion gak Bun..",
1660462360921018368,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660462207996665858,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
1660461237275344897,"Ini pemain yang lawan Israel di Piala Dunia U20 gak ada yang mau pake baju dalam 'For Indonesia'? 

Abis nyetak gol ke gawang Israel or selebrasi dibuka dan kasih lihat ke dunia kan? Pasti viral deh ?",
1660455468677087238,"RT @RizkiAsihan: Mau dibawa kemanapun,ke panggung  apapun,zionisme tak berperikemanusiaan selalu mendapat tentangan dari manusia yg masih p…",
